,Region,Track_Name,Rank,Artist,Cluster
370,gb,Try Me,370,The Weeknd,3
371,gb,No Long Talk,371,Drake,1
372,gb,Heartline,372,Craig David,0
373,gb,Mad Love,373,Sean Paul,0
374,gb,Cold Water (feat. Justin Bieber & MØ),374,Major Lazer,0
375,gb,Yikes,375,Kanye West,0
376,gb,STARGAZING,376,Travis Scott,3
377,gb,Stargazing,377,Kygo,3
378,gb,Mr. Brightside,378,The Killers,3
379,gb,changes,379,XXXTENTACION,2
380,gb,Advice,380,Cadet,1
381,gb,Vroom,381,Yxng Bane,0
382,gb,Redbone,382,Childish Gambino,3
383,gb,Let Me Love You,383,DJ Snake,3
384,gb,Believer,384,Imagine Dragons,0
385,gb,Wow.,385,Post Malone,1
386,gb,Delicate,386,Taylor Swift,1
387,gb,Zack And Codeine,387,Post Malone,0
388,gb,Hard Times,388,Paramore,0
389,gb,Underneath the Tree,389,Kelly Clarkson,3
390,gb,Diplomatic Immunity,390,Drake,0
391,gb,Skepta Interlude,391,Drake,0
392,gb,Weak,392,AJR,3
393,gb,Give Yourself A Try,393,The 1975,3
394,gb,ELEMENT.,394,Kendrick Lamar,0
395,gb,Photograph,395,J. Cole,2
396,gb,Down,396,Fifth Harmony,3
397,gb,Rapper,397,Hardy Caprio,1
398,gb,Ghost Town,398,Kanye West,3
399,gb,Teenage Fever,399,Drake,1
400,gb,BAD!,400,XXXTENTACION,1
401,gb,Candy Paint,401,Post Malone,1
402,gb,Normal,402,Eminem,1
403,gb,8 Out Of 10,403,Drake,1
404,gb,KOD,404,J. Cole,3
405,gb,4422,405,Drake,2
406,gb,Bridge Over Troubled Water,406,Artists for Grenfell,2
407,gb,Four Out Of Five,407,Arctic Monkeys,3
408,gb,Gorgeous,408,Taylor Swift,1
409,gb,Stepping Stone,409,Eminem,3
410,gb,Polaroid,410,Jonas Blue,0
411,gb,Elevate,411,Drake,1
412,gb,Beautiful (feat. Camila Cabello),412,Bazzi,3
413,gb,Same Bitches (feat. G-Eazy & YG),413,Post Malone,1
414,gb,I Found You (with Calvin Harris),414,benny blanco,0
415,gb,Cigarettes & Cush (feat. Kehlani & Lily Allen),415,Stormzy,3
416,gb,Wake Me Up - Radio Edit,416,Avicii,3
417,gb,Free Smoke,417,Drake,1
418,gb,Survival,418,Drake,1
419,gb,Sleigh Ride,419,The Ronettes,2
420,gb,Takin' Shots,420,Post Malone,3
421,gb,Goodbye (feat. Nicki Minaj & Willy William),421,Jason Derulo,3
422,gb,Santa Claus Is Coming To Town,422,The Jackson 5,1
423,gb,My Way,423,Calvin Harris,0
424,gb,Hangman,424,Dave,1
425,gb,Can’t Take A Joke,425,Drake,1
426,gb,Wouldn't Leave,426,Kanye West,1
427,gb,So Good,427,Louisa,3
428,gb,2000 Miles - 2007 Remaster,428,Pretenders,3
429,gb,Mona Lisa (feat. Kendrick Lamar),429,Lil Wayne,3
430,gb,Sanctify,430,Years & Years,3
431,gb,Come Alive,431,Hugh Jackman,3
432,gb,Let Me Down,432,Jorja Smith,2
433,gb,Jorja Interlude,433,Drake,2
434,gb,What I Wanna,434,MoStack,0
435,gb,Praying,435,Kesha,2
436,gb,First Things First,436,Stormzy,0
437,gb,92 Explorer,437,Post Malone,0
438,gb,Mr Skeng,438,Stormzy,0
439,gb,Fuck Love (feat. Trippie Redd),439,XXXTENTACION,1
440,gb,She Loves Control,440,Camila Cabello,0
441,gb,Hurt You,441,The Weeknd,3
442,gb,Don't Look Back in Anger - Remastered,442,Oasis,3
443,gb,I Was Never There,443,The Weeknd,3
444,gb,Bad Boys (feat. Ghetts and J Hus),444,Stormzy,3
445,gb,Don't Leave Me Alone (feat. Anne-Marie),445,David Guetta,0
446,gb,Baby It's Cold Outside (duet with Michael Bublé),446,Idina Menzel,2
447,gb,Rollin,447,Calvin Harris,0
448,gb,Star Treatment,448,Arctic Monkeys,3
449,gb,Levels - Radio Edit,449,Avicii,3
450,gb,Violent Crimes,450,Kanye West,1
451,gb,Talk Up,451,Drake,1
452,gb,Otherside,452,Post Malone,3
453,gb,Good Guy (feat. Jessie Reyez),453,Eminem,1
454,gb,Let Me,454,ZAYN,3
455,gb,sweetener,455,Ariana Grande,3
456,gb,ATM,456,J. Cole,1
457,gb,Everybody Dies In Their Nightmares,457,XXXTENTACION,1
458,gb,The Greatest,458,Sia,0
459,gb,I Thought About Killing You,459,Kanye West,1
460,gb,Mary's Boy Child / Oh My Lord,460,Boney M.,3
461,gb,More Than Friends,461,James Hype,0
462,gb,Filthy,462,Justin Timberlake,3
463,gb,Sacrifices,463,Big Sean,1
464,gb,Summertime Magic,464,Childish Gambino,3
465,gb,No Mistakes,465,Kanye West,0
466,gb,Paul - Skit,466,Paul Rosenberg,1
467,gb,Despacito (Featuring Daddy Yankee),467,Luis Fonsi,0
468,gb,Play,468,Jax Jones,0
469,gb,Sandra’s Rose,469,Drake,3
470,gb,"MAMA (feat. Nicki Minaj, Kanye West)",470,6ix9ine,3
471,gb,In The End,471,Linkin Park,3
472,gb,TIC TOC (feat. Lil Baby),472,6ix9ine,0
473,gb,TOOTIMETOOTIMETOOTIME,473,The 1975,3
474,gb,The Christmas Song (Merry Christmas To You),474,Nat King Cole,2
475,gb,Waiting For Love,475,Avicii,0
476,gb,Good Life (with G-Eazy & Kehlani),476,G-Eazy,3
477,gb,One Point Perspective,477,Arctic Monkeys,0
478,gb,Always Remember Us This Way,478,Lady Gaga,3
479,gb,everytime,479,Ariana Grande,1
480,gb,All We Know,480,The Chainsmokers,3
481,gb,Blame It On Me,481,Post Malone,3
482,gb,LOVE. FEAT. ZACARI.,482,Kendrick Lamar,1
483,gb,Privilege,483,The Weeknd,2
484,gb,Tranquility Base Hotel & Casino,484,Arctic Monkeys,0
485,gb,Summer Games,485,Drake,2
486,gb,Drip Too Hard (Lil Baby & Gunna),486,Lil Baby,0
487,gb,Lose You,487,Drake,2
488,gb,YAH.,488,Kendrick Lamar,1
489,gb,Burning,489,Sam Smith,2
490,gb,the remedy for a broken heart (why am I so in love),490,XXXTENTACION,2
491,gb,Numb,491,Linkin Park,3
492,gb,The Nights,492,Avicii,3
493,gb,Believe,493,Eminem,3
494,gb,Nice Guy (with Jessie Reyez),494,Eminem,1
495,gb,Rollin (feat. Future & Khalid),495,Calvin Harris,0
496,gb,Walk It Talk It,496,Migos,0
497,gb,Blue Tint,497,Drake,1
498,gb,Kevin’s Heart,498,J. Cole,1
499,gb,Hey Brother,499,Avicii,3
500,gb,How I Met My Ex,500,Dave,2
501,gb,Suncity (feat. Empress Of),501,Khalid,1
502,gb,Bartier Cardi (feat. 21 Savage),502,Cardi B,3
503,gb,Shut Up,503,Stormzy,0
504,gb,Don't Cry (feat. XXXTENTACION),504,Lil Wayne,3
505,gb,Sugar Wraith,505,Post Malone,3
506,gb,Lemon,506,N.E.R.D,0
507,gb,American Sports,507,Arctic Monkeys,3
508,gb,From Now On,508,Hugh Jackman,3
509,gb,After Dark,509,Drake,2
510,gb,Stop the Cavalry,510,Jona Lewie,1
511,gb,Em Calls Paul - Skit,511,Eminem,1
512,gb,Like Home (feat. Alicia Keys),512,Eminem,0
513,gb,Sweet Creature,513,Harry Styles,2
514,gb,FEEL.,514,Kendrick Lamar,0
515,gb,Remind Me,515,Eminem,0
516,gb,Glow,516,Drake,3
517,gb,Feliz Navidad,517,José Feliciano,3
518,gb,P.Y.T. (Pretty Young Thing),518,John Gibbons,3
519,gb,On Hold,519,The xx,3
520,gb,It's Not Living (If It's Not With You),520,The 1975,3
521,gb,Everyday,521,Logic,3
522,gb,Motiv8,522,J. Cole,1
523,gb,WAKA (feat. A Boogie Wit da Hoodie),523,6ix9ine,0
524,gb,Christmas (Baby Please Come Home),524,Mariah Carey,3
525,gb,Golden Trunks,525,Arctic Monkeys,3
526,gb,XXX. FEAT. U2.,526,Kendrick Lamar,3
527,gb,Let It Snow! Let It Snow! Let It Snow!,527,Dean Martin,2
528,gb,CAROUSEL,528,Travis Scott,1
529,gb,Linguo,529,Giggs,1
530,gb,Empty Space,530,James Arthur,3
